id,image_id,category_id,iscrowd,area,bbox0,bbox1,bbox2,bbox3,seg0,seg1,seg2,seg3,seg4,seg5,seg6,seg7
26,19,1,0,1428,714,311,42,34,714,311,714,345,756,345,756,311
27,19,1,0,1806,620,303,43,42,620,303,620,345,663,345,663,303
28,20,4,0,11396,1006,301,77,148,1006,301,1006,449,1083,449,1083,301
29,20,1,0,1880,710,314,47,40,710,314,710,354,757,354,757,314
30,20,1,0,1640,612,310,40,41,612,310,612,351,652,351,652,310
31,21,1,0,2236,711,316,52,43,711,316,711,359,763,359,763,316
32,21,1,0,1722,605,311,42,41,605,311,605,352,647,352,647,311
33,22,1,0,2679,713,315,57,47,713,315,713,362,770,362,770,315
34,22,1,0,1640,595,313,41,40,595,313,595,353,636,353,636,313
35,23,1,0,3726,715,308,69,54,715,308,715,362,784,362,784,308
36,23,1,0,1936,585,306,44,44,585,306,585,350,629,350,629,306
37,24,1,0,5848,727,303,86,68,727,303,727,371,813,371,813,303
38,24,4,0,2550,1012,314,30,85,1012,314,1012,399,1042,399,1042,314
39,24,1,0,2250,582,307,50,45,582,307,582,352,632,352,632,307
40,25,4,0,3913,1023,312,43,91,1023,312,1023,403,1066,403,1066,312
41,25,1,0,8829,748,298,109,81,748,298,748,379,857,379,857,298
42,25,1,0,2450,576,300,50,49,576,300,576,349,626,349,626,300
43,26,4,0,4935,1049,312,47,105,1049,312,1049,417,1096,417,1096,312
44,26,1,0,16536,776,301,156,106,776,301,776,407,932,407,932,301
45,26,1,0,2703,576,301,51,53,576,301,576,354,627,354,627,301
46,26,1,0,12283,202,287,173,71,202,287,202,358,375,358,375,287
47,27,4,0,5014,1078,316,46,109,1078,316,1078,425,1124,425,1124,316
48,27,1,0,43176,829,297,257,168,829,297,829,465,1086,465,1086,297
49,27,1,0,2907,565,304,57,51,565,304,565,355,622,355,622,304
50,27,1,0,19404,111,283,231,84,111,283,111,367,342,367,342,283
51,28,1,0,112378,958,281,322,349,958,281,958,630,1280,630,1280,281
52,28,1,0,3304,558,303,59,56,558,303,558,359,617,359,617,303
53,28,1,0,23265,70,274,235,99,70,274,70,373,305,373,305,274
54,29,1,0,23968,0,268,224,107,0,268,0,375,224,375,224,268
55,29,1,0,4422,543,298,67,66,543,298,543,364,610,364,610,298
56,29,4,0,13724,1147,316,94,146,1147,316,1147,462,1241,462,1241,316
57,30,1,0,5032,522,295,74,68,522,295,522,363,596,363,596,295
58,30,1,0,21320,0,258,164,130,0,258,0,388,164,388,164,258
59,31,1,0,6320,509,299,79,80,509,299,509,379,588,379,588,299
60,32,1,0,7826,478,297,91,86,478,297,478,383,569,383,569,297
61,33,1,0,10593,447,291,107,99,447,291,447,390,554,390,554,291
62,34,1,0,14268,409,290,123,116,409,290,409,406,532,406,532,290
63,35,1,0,22304,343,288,164,136,343,288,343,424,507,424,507,288
64,36,1,0,36980,254,279,215,172,254,279,254,451,469,451,469,279
65,37,4,0,7050,882,289,50,141,882,289,882,430,932,430,932,289
66,37,1,0,75210,93,259,327,230,93,259,93,489,420,489,420,259
67,38,1,0,129238,0,236,358,361,0,236,0,597,358,597,358,236
68,39,1,0,99946,0,234,242,413,0,234,0,647,242,647,242,234
69,40,4,0,12012,1214,304,66,182,1214,304,1214,486,1280,486,1280,304
70,41,1,0,202073,0,237,509,397,0,237,0,634,509,634,509,237
71,41,1,0,167008,470,261,614,272,470,261,470,533,1084,533,1084,261
72,42,4,0,10595,1083,322,65,163,1083,322,1083,485,1148,485,1148,322
73,43,4,0,3531,890,304,33,107,890,304,890,411,923,411,923,304
74,44,4,0,24795,1174,274,95,261,1174,274,1174,535,1269,535,1269,274
75,45,4,0,3060,816,301,36,85,816,301,816,386,852,386,852,301
76,46,4,0,4961,913,294,41,121,913,294,913,415,954,415,954,294
77,47,4,0,18177,1205,272,73,249,1205,272,1205,521,1278,521,1278,272
78,48,4,0,6771,905,331,61,111,905,331,905,442,966,442,966,331
79,48,4,0,10296,884,289,72,143,884,289,884,432,956,432,956,289
80,48,4,0,2813,861,299,29,97,861,299,861,396,890,396,890,299
81,48,4,0,1472,775,303,23,64,775,303,775,367,798,367,798,303
82,49,4,0,6120,1026,296,51,120,1026,296,1026,416,1077,416,1077,296
83,49,4,0,5200,957,287,50,104,957,287,957,391,1007,391,1007,287
84,49,4,0,5117,928,286,43,119,928,286,928,405,971,405,971,286
85,49,4,0,1856,812,289,32,58,812,289,812,347,844,347,844,289
86,50,4,0,13200,1107,279,75,176,1107,279,1107,455,1182,455,1182,279
87,50,4,0,5936,875,289,53,112,875,289,875,401,928,401,928,289
88,51,4,0,16471,1027,273,91,181,1027,273,1027,454,1118,454,1118,273
89,52,4,0,7228,1035,300,52,139,1035,300,1035,439,1087,439,1087,300
90,53,1,0,15300,921,284,153,100,921,284,921,384,1074,384,1074,284
91,54,4,0,1537,738,317,29,53,738,317,738,370,767,370,767,317
92,55,4,0,1127,730,310,23,49,730,310,730,359,753,359,753,310
93,56,4,0,1560,718,316,30,52,718,316,718,368,748,368,748,316
94,57,4,0,2065,707,309,35,59,707,309,707,368,742,368,742,309
95,58,4,0,1302,703,306,21,62,703,306,703,368,724,368,724,306
96,59,4,0,2178,684,305,33,66,684,305,684,371,717,371,717,305
97,60,4,0,2263,667,295,31,73,667,295,667,368,698,368,698,295
98,61,4,0,2449,646,294,31,79,646,294,646,373,677,373,677,294
99,62,4,0,4508,613,298,49,92,613,298,613,390,662,390,662,298
100,63,1,0,15288,942,290,147,104,942,290,942,394,1089,394,1089,290
101,64,4,0,3744,589,294,36,104,589,294,589,398,625,398,625,294
102,65,4,0,4988,561,291,43,116,561,291,561,407,604,407,604,291
103,66,4,0,7236,511,284,54,134,511,284,511,418,565,418,565,284
104,67,4,0,9280,468,271,58,160,468,271,468,431,526,431,526,271
105,67,1,0,918,598,302,34,27,598,302,598,329,632,329,632,302
106,68,4,0,18392,372,262,88,209,372,262,372,471,460,471,460,262
107,68,1,0,728,602,302,28,26,602,302,602,328,630,328,630,302
108,69,4,0,36408,167,248,123,296,167,248,167,544,290,544,290,248
109,69,1,0,1054,591,302,34,31,591,302,591,333,625,333,625,302
110,70,1,0,1073,591,306,37,29,591,306,591,335,628,335,628,306
111,71,1,0,1248,596,309,39,32,596,309,596,341,635,341,635,309
112,72,1,0,1254,606,310,38,33,606,310,606,343,644,343,644,310
113,73,1,0,1326,615,311,39,34,615,311,615,345,654,345,654,311
114,74,1,0,22134,959,282,186,119,959,282,959,401,1145,401,1145,282
115,75,4,0,2176,902,309,32,68,902,309,902,377,934,377,934,309
116,75,1,0,1332,625,311,37,36,625,311,625,347,662,347,662,311
117,76,4,0,4747,986,311,47,101,986,311,986,412,1033,412,1033,311
118,76,1,0,1512,630,313,42,36,630,313,630,349,672,349,672,313
119,77,4,0,12432,1159,316,84,148,1159,316,1159,464,1243,464,1243,316
120,77,1,0,1848,634,309,44,42,634,309,634,351,678,351,678,309
121,78,1,0,1806,634,309,43,42,634,309,634,351,677,351,677,309
122,79,1,0,2068,633,305,44,47,633,305,633,352,677,352,677,305
123,80,1,0,2064,628,308,48,43,628,308,628,351,676,351,676,308
124,80,4,0,2133,441,278,27,79,441,278,441,357,468,357,468,278
125,81,1,0,2160,626,303,48,45,626,303,626,348,674,348,674,303
126,81,4,0,3220,413,272,35,92,413,272,413,364,448,364,448,272
127,82,4,0,3705,381,274,39,95,381,274,381,369,420,369,420,274
128,82,1,0,2650,618,306,53,50,618,306,618,356,671,356,671,306
129,83,4,0,5390,330,265,49,110,330,265,330,375,379,375,379,265
130,83,1,0,2862,609,301,53,54,609,301,609,355,662,355,662,301
131,84,4,0,6264,272,258,58,108,272,258,272,366,330,366,330,258
132,84,1,0,2800,594,304,56,50,594,304,594,354,650,354,650,304
133,85,1,0,30125,983,287,241,125,983,287,983,412,1224,412,1224,287
134,86,4,0,6670,231,246,46,145,231,246,231,391,277,391,277,246
135,86,1,0,3410,576,298,62,55,576,298,576,353,638,353,638,298
136,87,4,0,9638,162,239,61,158,162,239,162,397,223,397,223,239
137,87,1,0,3712,561,299,64,58,561,299,561,357,625,357,625,299
138,88,4,0,11036,88,231,62,178,88,231,88,409,150,409,150,231
139,88,1,0,3776,547,298,64,59,547,298,547,357,611,357,611,298
140,89,4,0,13130,8,222,65,202,8,222,8,424,73,424,73,222
141,89,1,0,4209,532,298,69,61,532,298,532,359,601,359,601,298
142,90,1,0,13800,266,258,115,120,266,258,266,378,381,378,381,258
143,90,1,0,4453,520,300,73,61,520,300,520,361,593,361,593,300
144,91,1,0,14896,251,250,112,133,251,250,251,383,363,383,363,250
145,91,1,0,5082,514,297,77,66,514,297,514,363,591,363,591,297
146,92,1,0,16851,224,257,123,137,224,257,224,394,347,394,347,257
147,92,1,0,5100,511,298,75,68,511,298,511,366,586,366,586,298
148,93,1,0,17920,210,257,128,140,210,257,210,397,338,397,338,257
149,93,1,0,5920,512,299,80,74,512,299,512,373,592,373,592,299
150,94,1,0,20115,188,251,135,149,188,251,188,400,323,400,323,251
151,94,1,0,5986,512,298,82,73,512,298,512,371,594,371,594,298
152,95,1,0,5727,518,300,83,69,518,300,518,369,601,369,601,300
153,95,1,0,23068,167,248,146,158,167,248,167,406,313,406,313,248
154,96,1,0,30932,1015,275,209,148,1015,275,1015,423,1224,423,1224,275
155,97,1,0,5925,524,296,79,75,524,296,524,371,603,371,603,296
156,97,1,0,24336,142,252,156,156,142,252,142,408,298,408,298,252
157,98,1,0,29050,119,244,166,175,119,244,119,419,285,419,285,244
158,98,1,0,6794,525,296,86,79,525,296,525,375,611,375,611,296
159,99,1,0,6952,529,298,88,79,529,298,529,377,617,377,617,298
160,99,1,0,33124,88,244,182,182,88,244,88,426,270,426,270,244
161,100,1,0,7912,535,295,92,86,535,295,535,381,627,381,627,295
162,100,1,0,38760,62,240,204,190,62,240,62,430,266,430,266,240
163,101,4,0,60536,1084,253,184,329,1084,253,1084,582,1268,582,1268,253
164,101,1,0,8134,538,299,98,83,538,299,538,382,636,382,636,299
165,101,1,0,45540,35,234,220,207,35,234,35,441,255,441,255,234
166,102,1,0,54366,0,228,246,221,0,228,0,449,246,449,246,228
167,102,1,0,8613,544,293,99,87,544,293,544,380,643,380,643,293
168,102,4,0,33075,977,265,135,245,977,265,977,510,1112,510,1112,265
169,103,4,0,20544,926,270,107,192,926,270,926,462,1033,462,1033,270
170,103,1,0,9588,548,293,102,94,548,293,548,387,650,387,650,293
171,103,1,0,52416,0,225,224,234,0,225,0,459,224,459,224,225
172,104,4,0,12284,889,282,83,148,889,282,889,430,972,430,972,282
173,104,1,0,10088,554,293,104,97,554,293,554,390,658,390,658,293
174,104,1,0,52668,0,219,209,252,0,219,0,471,209,471,209,219
175,105,1,0,46008,1118,312,162,284,1118,312,1118,596,1280,596,1280,312
176,105,1,0,10165,558,294,107,95,558,294,558,389,665,389,665,294
177,105,1,0,52820,0,205,190,278,0,205,0,483,190,483,190,205
178,105,4,0,7616,861,286,68,112,861,286,861,398,929,398,929,286
179,106,1,0,32487,1055,273,221,147,1055,273,1055,420,1276,420,1276,273
180,107,1,0,106267,951,244,329,323,951,244,951,567,1280,567,1280,244
181,107,4,0,4656,837,288,48,97,837,288,837,385,885,385,885,288
182,107,1,0,13098,561,288,118,111,561,288,561,399,679,399,679,288
183,107,1,0,44496,0,204,144,309,0,204,0,513,144,513,144,204
184,108,1,0,13566,561,288,119,114,561,288,561,402,680,402,680,288
185,108,4,0,2660,834,288,28,95,834,288,834,383,862,383,862,288
186,108,1,0,95887,901,270,379,253,901,270,901,523,1280,523,1280,270
187,109,1,0,63162,867,281,319,198,867,281,867,479,1186,479,1186,281
188,109,4,0,2482,813,298,34,73,813,298,813,371,847,371,847,298
189,109,1,0,14448,551,292,129,112,551,292,551,404,680,404,680,292
190,110,1,0,15720,546,289,131,120,546,289,546,409,677,409,677,289
191,110,4,0,1407,805,294,21,67,805,294,805,361,826,361,826,294
192,110,1,0,44820,840,279,249,180,840,279,840,459,1089,459,1089,279
193,111,1,0,30800,810,287,200,154,810,287,810,441,1010,441,1010,287
194,111,1,0,16698,532,292,138,121,532,292,532,413,670,413,670,292
195,112,1,0,68970,1071,272,209,330,1071,272,1071,602,1280,602,1280,272
196,112,1,0,22344,782,284,168,133,782,284,782,417,950,417,950,284
197,112,1,0,18850,513,286,145,130,513,286,513,416,658,416,658,286
198,113,1,0,20655,496,284,153,135,496,284,496,419,649,419,649,284
199,113,1,0,17100,753,290,150,114,753,290,753,404,903,404,903,290
200,113,1,0,120983,943,245,337,359,943,245,943,604,1280,604,1280,245
201,114,1,0,23004,476,288,162,142,476,288,476,430,638,430,638,288
202,114,1,0,114400,864,266,416,275,864,266,864,541,1280,541,1280,266
203,114,1,0,12648,735,292,124,102,735,292,735,394,859,394,859,292
204,115,1,0,64480,804,278,310,208,804,278,804,486,1114,486,1114,278
205,115,1,0,10476,712,288,108,97,712,288,712,385,820,385,820,288
206,115,1,0,25992,455,280,171,152,455,280,455,432,626,432,626,280
207,116,1,0,43011,759,282,243,177,759,282,759,459,1002,459,1002,282
208,116,1,0,7505,693,295,95,79,693,295,693,374,788,374,788,295
209,116,1,0,27540,435,281,180,153,435,281,435,434,615,434,615,281
210,117,1,0,26280,1100,269,180,146,1100,269,1100,415,1280,415,1280,269
211,118,4,0,35372,971,277,148,239,971,277,971,516,1119,516,1119,277
212,118,1,0,27777,722,287,197,141,722,287,722,428,919,428,919,287
213,118,1,0,6240,680,296,80,78,680,296,680,374,760,374,760,296
214,118,1,0,31360,409,279,196,160,409,279,409,439,605,439,605,279
215,119,1,0,38247,382,274,209,183,382,274,382,457,591,457,591,274
216,119,4,0,10032,890,286,66,152,890,286,890,438,956,438,956,286
217,119,1,0,21546,696,284,162,133,696,284,696,417,858,417,858,284
218,119,1,0,4420,672,298,65,68,672,298,672,366,737,366,737,298
219,120,4,0,5400,986,306,45,120,986,306,986,426,1031,426,1031,306
220,120,4,0,71610,1067,240,210,341,1067,240,1067,581,1277,581,1277,240
221,120,4,0,8415,805,279,55,153,805,279,805,432,860,432,860,279
222,120,1,0,16660,676,287,140,119,676,287,676,406,816,406,816,287
223,120,1,0,42036,355,273,226,186,355,273,355,459,581,459,581,273
224,121,4,0,27500,872,259,125,220,872,259,872,479,997,479,997,259
225,121,4,0,6156,737,293,54,114,737,293,737,407,791,407,791,293
226,121,1,0,9975,656,295,105,95,656,295,656,390,761,390,761,295
227,121,1,0,50592,322,272,248,204,322,272,322,476,570,476,570,272
228,122,1,0,63433,274,264,277,229,274,264,274,493,551,493,551,264
229,122,1,0,8374,634,297,106,79,634,297,634,376,740,376,740,297
230,122,4,0,12150,764,277,81,150,764,277,764,427,845,427,845,277
231,122,4,0,2852,692,300,46,62,692,300,692,362,738,362,738,300
232,123,4,0,6670,693,281,58,115,693,281,693,396,751,396,751,281
233,123,4,0,2485,651,294,35,71,651,294,651,365,686,365,686,294
234,123,1,0,7830,615,291,87,90,615,291,615,381,702,381,702,291
235,123,1,0,75922,211,263,319,238,211,263,211,501,530,501,530,263
236,124,1,0,104058,123,252,369,282,123,252,123,534,492,534,492,252
237,124,4,0,4094,633,285,46,89,633,285,633,374,679,374,679,285
238,124,1,0,3496,592,291,46,76,592,291,592,367,638,367,638,291
239,125,4,0,3440,589,287,40,86,589,287,589,373,629,373,629,287
240,125,1,0,149695,0,243,455,329,0,243,0,572,455,572,455,243
241,126,4,0,42656,923,286,172,248,923,286,923,534,1095,534,1095,286
242,126,4,0,32400,898,272,135,240,898,272,898,512,1033,512,1033,272
243,126,4,0,3588,547,282,39,92,547,282,547,374,586,374,586,282
244,126,1,0,4148,556,293,61,68,556,293,556,361,617,361,617,293
245,126,1,0,160752,0,239,408,394,0,239,0,633,408,633,408,239
246,126,1,0,7140,375,277,68,105,375,277,375,382,443,382,443,277
247,127,1,0,140008,0,229,344,407,0,229,0,636,344,636,344,229
248,127,1,0,15128,295,272,122,124,295,272,295,396,417,396,417,272
249,127,4,0,27742,752,290,143,194,752,290,752,484,895,484,895,290
250,127,4,0,18810,762,274,99,190,762,274,762,464,861,464,861,274
251,127,4,0,1755,521,290,27,65,521,290,521,355,548,355,548,290
252,127,1,0,3136,547,300,49,64,547,300,547,364,596,364,596,300
253,127,4,0,864,552,300,18,48,552,300,552,348,570,348,570,300
254,128,1,0,191478,310,236,658,291,310,236,310,527,968,527,968,236
255,128,1,0,138294,0,222,351,394,0,222,0,616,351,616,351,222
256,129,1,0,15912,1178,262,102,156,1178,262,1178,418,1280,418,1280,262
257,130,1,0,131670,0,200,285,462,0,200,0,662,285,662,285,200
258,130,1,0,25345,218,273,185,137,218,273,218,410,403,410,403,273
259,130,4,0,12556,688,279,86,146,688,279,688,425,774,425,774,279
260,130,4,0,1568,504,295,28,56,504,295,504,351,532,351,532,295
261,130,1,0,3078,535,302,54,57,535,302,535,359,589,359,589,302
262,131,1,0,32100,173,272,214,150,173,272,173,422,387,422,387,272
263,131,4,0,8064,643,279,63,128,643,279,643,407,706,407,706,279
264,131,4,0,1276,512,293,22,58,512,293,512,351,534,351,534,293
265,131,1,0,2915,536,303,53,55,536,303,536,358,589,358,589,303
266,132,1,0,40095,137,266,243,165,137,266,137,431,380,431,380,266
267,132,4,0,4508,623,287,46,98,623,287,623,385,669,385,669,287
268,132,4,0,1653,517,300,29,57,517,300,517,357,546,357,546,300
269,132,1,0,2500,544,306,50,50,544,306,544,356,594,356,594,306
270,133,4,0,5040,598,297,60,84,598,297,598,381,658,381,658,297
271,133,1,0,49306,108,264,277,178,108,264,108,442,385,442,385,264
272,134,1,0,64554,79,260,318,203,79,260,79,463,397,463,397,260
273,134,4,0,3132,615,287,36,87,615,287,615,374,651,374,651,287
274,135,4,0,1224,782,308,24,51,782,308,782,359,806,359,806,308
275,135,4,0,2772,622,299,42,66,622,299,622,365,664,365,664,299
276,135,4,0,902,592,303,22,41,592,303,592,344,614,344,614,303
277,135,1,0,81134,36,253,359,226,36,253,36,479,395,479,395,253
278,136,1,0,106650,0,238,395,270,0,238,0,508,395,508,395,238
279,136,4,0,2604,854,299,31,84,854,299,854,383,885,383,885,299
280,136,4,0,2925,633,302,45,65,633,302,633,367,678,367,678,302
281,137,1,0,116816,0,236,392,298,0,236,0,534,392,534,392,236
282,137,4,0,5985,966,297,57,105,966,297,966,402,1023,402,1023,297
283,138,4,0,10277,1237,291,43,239,1237,291,1237,530,1280,530,1280,291
284,138,1,0,137880,0,228,383,360,0,228,0,588,383,588,383,228
285,139,1,0,148876,0,225,364,409,0,225,0,634,364,634,364,225
286,140,1,0,145266,0,220,341,426,0,220,0,646,341,646,341,220
287,141,1,0,125400,0,225,300,418,0,225,0,643,300,643,300,225
288,142,1,0,78384,1096,201,184,426,1096,201,1096,627,1280,627,1280,201
289,143,1,0,124085,981,191,299,415,981,191,981,606,1280,606,1280,191
290,143,1,0,690,752,308,23,30,752,308,752,338,775,338,775,308
291,144,1,0,110595,915,232,365,303,915,232,915,535,1280,535,1280,232
292,145,1,0,70680,865,249,310,228,865,249,865,477,1175,477,1175,249
293,146,1,0,39738,835,263,222,179,835,263,835,442,1057,442,1057,263
294,147,1,0,25578,806,268,174,147,806,268,806,415,980,415,980,268
295,148,1,0,17202,785,283,141,122,785,283,785,405,926,405,926,283
296,149,1,0,12600,759,284,120,105,759,284,759,389,879,389,879,284
297,150,1,0,9191,740,287,101,91,740,287,740,378,841,378,841,287
298,151,1,0,6320,727,288,79,80,727,288,727,368,806,368,806,288
299,152,1,0,5183,714,291,73,71,714,291,714,362,787,362,787,291
300,153,1,0,4489,706,291,67,67,706,291,706,358,773,358,773,291
301,154,1,0,3844,698,299,62,62,698,299,698,361,760,361,760,299
302,155,1,0,3248,693,299,58,56,693,299,693,355,751,355,751,299
303,156,1,0,3192,689,296,56,57,689,296,689,353,745,353,745,296
304,157,4,0,5934,1080,308,46,129,1080,308,1080,437,1126,437,1126,308
305,157,1,0,2652,687,294,51,52,687,294,687,346,738,346,738,294
306,158,4,0,4920,1046,304,41,120,1046,304,1046,424,1087,424,1087,304
307,158,1,0,2024,687,295,46,44,687,295,687,339,733,339,733,295
308,159,1,0,1763,686,295,41,43,686,295,686,338,727,338,727,295
309,160,1,0,1591,687,298,37,43,687,298,687,341,724,341,724,298
310,161,1,0,1406,686,301,37,38,686,301,686,339,723,339,723,301
311,162,1,0,1248,686,301,32,39,686,301,686,340,718,340,718,301
312,163,1,0,1102,768,306,38,29,768,306,768,335,806,335,806,306
313,164,1,0,1292,691,307,34,38,691,307,691,345,725,345,725,307
314,165,1,0,1260,639,304,35,36,639,304,639,340,674,340,674,304
315,166,1,0,220400,127,241,725,304,127,241,127,545,852,545,852,241
316,167,1,0,1225,607,319,35,35,607,319,607,354,642,354,642,319
317,167,1,0,1184,569,316,37,32,569,316,569,348,606,348,606,316
318,168,1,0,1224,593,312,36,34,593,312,593,346,629,346,629,312
319,168,1,0,1015,557,310,35,29,557,310,557,339,592,339,592,310
320,169,1,0,1221,598,310,37,33,598,310,598,343,635,343,635,310
321,169,1,0,1020,564,305,30,34,564,305,564,339,594,339,594,305
322,170,1,0,1444,630,304,38,38,630,304,630,342,668,342,668,304
323,170,1,0,1054,592,301,34,31,592,301,592,332,626,332,626,301
324,171,1,0,1406,666,309,38,37,666,309,666,346,704,346,704,309
325,171,1,0,1089,630,307,33,33,630,307,630,340,663,340,663,307
326,172,1,0,1404,701,311,39,36,701,311,701,347,740,347,740,311
327,172,1,0,986,663,310,34,29,663,310,663,339,697,339,697,310
328,173,1,0,1677,725,315,43,39,725,315,725,354,768,354,768,315
329,173,1,0,1406,684,311,38,37,684,311,684,348,722,348,722,311
330,174,1,0,1764,733,316,42,42,733,316,733,358,775,358,775,316
331,174,1,0,1225,694,313,35,35,694,313,694,348,729,348,729,313
332,175,1,0,1804,732,313,44,41,732,313,732,354,776,354,776,313
333,175,1,0,1476,693,308,36,41,693,308,693,349,729,349,729,308
334,176,1,0,1920,734,315,48,40,734,315,734,355,782,355,782,315
335,176,1,0,1254,693,313,38,33,693,313,693,346,731,346,731,313
336,177,1,0,1890,741,309,42,45,741,309,741,354,783,354,783,309
337,177,1,0,1672,698,306,38,44,698,306,698,350,736,350,736,306
338,178,1,0,2132,737,311,52,41,737,311,737,352,789,352,789,311
339,178,1,0,1599,693,305,41,39,693,305,693,344,734,344,734,305
340,179,1,0,2650,738,301,50,53,738,301,738,354,788,354,788,301
341,179,1,0,1600,695,304,40,40,695,304,695,344,735,344,735,304
342,180,1,0,2484,735,304,54,46,735,304,735,350,789,350,789,304
343,180,1,0,1505,691,301,43,35,691,301,691,336,734,336,734,301
344,181,1,0,1540,691,301,44,35,691,301,691,336,735,336,735,301
345,181,1,0,2193,742,303,51,43,742,303,742,346,793,346,793,303
346,182,1,0,2646,751,305,54,49,751,305,751,354,805,354,805,305
347,182,1,0,1591,701,303,43,37,701,303,701,340,744,340,744,303
348,183,1,0,2475,765,309,55,45,765,309,765,354,820,354,820,309
349,183,1,0,1638,715,303,42,39,715,303,715,342,757,342,757,303
350,184,1,0,3074,783,308,58,53,783,308,783,361,841,361,841,308
351,184,1,0,1596,732,308,42,38,732,308,732,346,774,346,774,308
352,185,1,0,3657,801,313,69,53,801,313,801,366,870,366,870,313
353,185,1,0,1800,749,311,45,40,749,311,749,351,794,351,794,311
354,186,1,0,3968,824,310,64,62,824,310,824,372,888,372,888,310
355,186,1,0,1932,767,312,46,42,767,312,767,354,813,354,813,312
356,187,1,0,4158,841,313,66,63,841,313,841,376,907,376,907,313
357,187,1,0,2024,782,313,44,46,782,313,782,359,826,359,826,313
358,188,1,0,4260,856,310,71,60,856,310,856,370,927,370,927,310
359,188,1,0,2597,788,310,53,49,788,310,788,359,841,359,841,310
360,189,1,0,4800,869,310,75,64,869,310,869,374,944,374,944,310
361,189,1,0,2646,796,312,54,49,796,312,796,361,850,361,850,312
362,190,1,0,5576,876,309,82,68,876,309,876,377,958,377,958,309
363,190,1,0,2600,805,308,50,52,805,308,805,360,855,360,855,308
364,191,1,0,6525,885,308,87,75,885,308,885,383,972,383,972,308
365,191,1,0,2968,807,312,56,53,807,312,807,365,863,365,863,312
366,192,1,0,6390,894,315,90,71,894,315,894,386,984,386,984,315
367,192,1,0,3074,810,311,58,53,810,311,810,364,868,364,868,311
368,193,1,0,7857,895,309,97,81,895,309,895,390,992,390,992,309
369,193,1,0,3300,805,309,60,55,805,309,805,364,865,364,865,309
370,194,1,0,3294,801,314,61,54,801,314,801,368,862,368,862,314
371,194,1,0,8640,893,311,108,80,893,311,893,391,1001,391,1001,311
372,195,1,0,9416,902,313,107,88,902,313,902,401,1009,401,1009,313
373,195,4,0,2590,1033,327,35,74,1033,327,1033,401,1068,401,1068,327
374,195,1,0,4012,797,313,68,59,797,313,797,372,865,372,865,313
375,196,1,0,10710,905,309,119,90,905,309,905,399,1024,399,1024,309
376,196,4,0,2516,1037,323,37,68,1037,323,1037,391,1074,391,1074,323
377,196,1,0,4071,795,309,69,59,795,309,795,368,864,368,864,309
378,197,4,0,56072,977,228,172,326,977,228,977,554,1149,554,1149,228
379,197,1,0,11858,916,307,121,98,916,307,916,405,1037,405,1037,307
380,197,1,0,4864,800,309,76,64,800,309,800,373,876,373,876,309
381,198,1,0,10864,957,306,112,97,957,306,957,403,1069,403,1069,306
382,198,4,0,30940,840,255,130,238,840,255,840,493,970,493,970,255
383,198,1,0,4284,809,309,68,63,809,309,809,372,877,372,877,309
384,199,1,0,15645,948,308,149,105,948,308,948,413,1097,413,1097,308
385,199,4,0,18666,774,261,102,183,774,261,774,444,876,444,876,261
386,200,1,0,19844,965,304,164,121,965,304,965,425,1129,425,1129,304
387,200,1,0,5576,817,308,82,68,817,308,817,376,899,376,899,308
388,200,4,0,9240,751,270,60,154,751,270,751,424,811,424,811,270
